cik,company_name,fiscal_period,fiscal_year,filing_date,is_basic_earnings_per_share_unit,is_basic_earnings_per_share_value,is_cost_of_revenue_unit,is_cost_of_revenue_value,is_gross_profit_unit,is_gross_profit_value,is_operating_expenses_unit,is_operating_expenses_value,is_revenues_unit,is_revenues_value,ci_comprehensive_income_loss_unit,ci_comprehensive_income_loss_value,ci_comprehensive_income_loss_attributable_to_parent_unit,ci_comprehensive_income_loss_attributable_to_parent_value,ci_other_comprehensive_income_loss_unit,ci_other_comprehensive_income_loss_value,cfs_exchange_gains_losses_unit,cfs_exchange_gains_losses_value,cfs_net_cash_flow_unit,cfs_net_cash_flow_value,cfs_net_cash_flow_from_financing_activities_unit,cfs_net_cash_flow_from_financing_activities_value,bs_assets_unit,bs_assets_value,bs_current_assets_unit,bs_current_assets_value,bs_liabilities_and_equity_unit,bs_liabilities_and_equity_value,bs_fixed_assets_unit,bs_fixed_assets_value,bs_equity_attributable_to_noncontrolling_interest_unit,bs_equity_attributable_to_noncontrolling_interest_value,bs_noncurrent_assets_unit,bs_noncurrent_assets_value,bs_liabilities_unit,bs_liabilities_value,bs_other_than_fixed_noncurrent_assets_unit,bs_other_than_fixed_noncurrent_assets_value,bs_equity_attributable_to_parent_unit,bs_equity_attributable_to_parent_value,bs_noncurrent_liabilities_unit,bs_noncurrent_liabilities_value,bs_current_liabilities_unit,bs_current_liabilities_value,bs_equity_unit,bs_equity_value,cfs_net_cash_flow_from_op_and_inv
0001425292,"CVR PARTNERS, LP",Q2,2023,2023-08-01,USD / shares,5.66,USD,108924000.0,USD,74081000.0,USD,7355000.0,USD,183005000.0,USD,59857000.0,USD,59857000.0,USD,0.0,,,USD,-52664000.0,USD,-110240000.0,USD,1018990000.0,USD,188323000.0,USD,1018990000.0,USD,783561000.0,USD,0.0,USD,830667000.0,USD,666674000.0,USD,47106000.0,USD,352316000.0,USD,598360000.0,USD,68314000.0,USD,352316000.0,57576000.0
0001425292,"CVR PARTNERS, LP",Q1,2023,2023-05-02,USD / shares,9.64,USD,109333000.0,USD,116928000.0,USD,7576000.0,USD,226261000.0,USD,101870000.0,USD,101870000.0,USD,0.0,,,USD,35024000.0,USD,-110981000.0,USD,1116279000.0,USD,270662000.0,USD,1116279000.0,USD,796627000.0,USD,0.0,USD,845617000.0,USD,-402700000.0,USD,48990000.0,USD,402700000.0,USD,600225000.0,USD,113354000.0,USD,402700000.0,146005000.0
0000005981,AMERICAN VANGUARD CORP,Q2,2023,2023-08-09,USD / shares,-0.04,USD,89881000.0,USD,42909000.0,USD,39155000.0,USD,132790000.0,USD,2452000.0,USD,2452000.0,USD,3505000.0,,,USD,-4705000.0,USD,54309000.0,USD,772658000.0,USD,438153000.0,USD,772658000.0,USD,73452000.0,USD,0.0,USD,334505000.0,USD,403583000.0,USD,261053000.0,USD,369075000.0,USD,198240000.0,USD,205343000.0,USD,369075000.0,-59014000.0
0000005981,AMERICAN VANGUARD CORP,Q1,2023,2023-05-10,USD / shares,0.07,USD,86348000.0,USD,38537000.0,USD,35272000.0,USD,124885000.0,USD,4464000.0,USD,1918000.0,USD,0.0,,,USD,-983000.0,USD,43777000.0,USD,771073000.0,USD,434970000.0,USD,771073000.0,USD,71538000.0,USD,0.0,USD,336103000.0,USD,396079000.0,USD,264565000.0,USD,374994000.0,USD,0.0,USD,260009000.0,USD,374994000.0,-44760000.0
0001421461,"Intrepid Potash, Inc.",Q2,2023,2023-08-03,USD / shares,0.34,USD,0.0,USD,15382000.0,USD,8114000.0,USD,15382000.0,USD,4305000.0,USD,4305000.0,USD,0.0,,,USD,6710000.0,USD,-5467000.0,USD,796266000.0,USD,153836000.0,USD,796266000.0,USD,400627000.0,USD,0.0,USD,642430000.0,USD,70165000.0,USD,241803000.0,USD,726101000.0,USD,31941000.0,USD,38224000.0,USD,726101000.0,12177000.0
0001421461,"Intrepid Potash, Inc.",Q1,2023,2023-05-04,USD / shares,0.35,USD,0.0,USD,16352000.0,USD,10978000.0,USD,16352000.0,USD,4506000.0,USD,4506000.0,USD,0.0,,,USD,-8061000.0,USD,3920000.0,USD,800990000.0,USD,167082000.0,USD,800990000.0,USD,387851000.0,USD,0.0,USD,633908000.0,USD,80697000.0,USD,246057000.0,USD,720293000.0,USD,0.0,USD,44250000.0,USD,720293000.0,-11981000.0
0001469443,"Arcadia Biosciences, Inc.",Q2,2023,2023-08-10,USD / shares,0.61,USD,981000.0,USD,408000.0,USD,4199000.0,USD,1389000.0,USD,844000.0,USD,844000.0,USD,21000.0,,,USD,-9514000.0,USD,0.0,USD,26798000.0,USD,23339000.0,USD,26798000.0,USD,560000.0,USD,-138000.0,USD,3459000.0,USD,9068000.0,USD,2899000.0,USD,17868000.0,USD,4977000.0,USD,4091000.0,USD,17730000.0,-9514000.0
0001469443,"Arcadia Biosciences, Inc.",Q1,2023,2023-05-15,USD / shares,-10.86,USD,825000.0,USD,684000.0,USD,4732000.0,USD,1509000.0,USD,-9384000.0,USD,-9384000.0,USD,0.0,,,USD,2354000.0,USD,5505000.0,USD,30410000.0,USD,27205000.0,USD,30410000.0,USD,622000.0,USD,-133000.0,USD,3205000.0,USD,13718000.0,USD,2583000.0,USD,16825000.0,USD,0.0,USD,4097000.0,USD,16692000.0,-3151000.0
0000857949,"China Green Agriculture, Inc.",Q3,2023,2023-05-15,USD / shares,0.02,USD,37886004.0,USD,7375956.0,USD,7192578.0,USD,45261960.0,USD,981886.0,USD,981886.0,USD,792281.0,USD,276704.0,USD,-2358543.0,USD,30561.0,USD,206765365.0,USD,169460064.0,USD,206765365.0,USD,17048050.0,USD,0.0,USD,37305301.0,USD,62555515.0,USD,20257251.0,USD,144209850.0,USD,1105800.0,USD,61449715.0,USD,144209850.0,-2389104.0
0001121702,"YIELD10 BIOSCIENCE, INC.",Q2,2023,2023-08-14,USD / shares,-0.64,,,,,USD,3667000.0,USD,0.0,USD,-3693000.0,USD,-3693000.0,USD,-3693000.0,USD,-14000.0,USD,527000.0,USD,3638000.0,USD,5870000.0,USD,3025000.0,USD,5870000.0,USD,663000.0,USD,0.0,USD,2845000.0,USD,5283000.0,USD,2182000.0,USD,587000.0,USD,2813000.0,USD,2470000.0,USD,587000.0,-3111000.0
0001121702,"YIELD10 BIOSCIENCE, INC.",Q1,2023,2023-05-12,USD / shares,-0.76,,,,,USD,3860000.0,USD,60000.0,USD,-3785000.0,USD,-3785000.0,USD,-3785000.0,USD,-3000.0,USD,-547000.0,USD,141000.0,USD,5334000.0,USD,2443000.0,USD,5334000.0,USD,715000.0,USD,0.0,USD,2891000.0,USD,4191000.0,USD,2176000.0,USD,1143000.0,USD,0.0,USD,2270000.0,USD,1143000.0,-688000.0
0001789192,"Save Foods, Inc.",Q2,2023,2023-08-14,USD / shares,-0.1,USD,27007.0,USD,9601.0,USD,849919.0,USD,36608.0,USD,-714935.0,USD,-714935.0,USD,0.0,,,USD,1105789.0,,,USD,6162930.0,USD,3956060.0,USD,6162930.0,USD,64204.0,USD,-122050.0,USD,2206870.0,USD,600507.0,USD,2142666.0,USD,5684473.0,USD,10345.0,USD,590162.0,USD,5562423.0,
0001789192,"Save Foods, Inc.",Q1,2023,2023-05-15,USD / shares,-0.37,USD,42746.0,USD,78264.0,USD,1821917.0,USD,121010.0,USD,-1721549.0,USD,-1721549.0,USD,0.0,,,USD,-1105789.0,,,USD,5471548.0,USD,5280341.0,USD,5471548.0,USD,85500.0,USD,-116708.0,USD,191207.0,USD,696922.0,USD,105707.0,USD,4891334.0,USD,0.0,USD,672087.0,USD,4774626.0,
0000027904,"DELTA AIR LINES, INC.",Q2,2023,2023-07-13,USD / shares,2.86,,,,,USD,13087000000.0,USD,15578000000.0,USD,1872000000.0,USD,1872000000.0,USD,45000000.0,,,USD,-605000000.0,USD,-1831000000.0,USD,73497000000.0,USD,13080000000.0,USD,73497000000.0,,,USD,0.0,USD,60417000000.0,USD,65397000000.0,USD,60417000000.0,USD,8100000000.0,USD,36915000000.0,USD,28482000000.0,USD,8100000000.0,1226000000.0
0000092380,SOUTHWEST AIRLINES CO,Q2,2023,2023-07-28,USD / shares,1.15,,,,,USD,6242000000.0,USD,7037000000.0,USD,544000000.0,USD,544000000.0,USD,544000000.0,,,USD,799000000.0,USD,10000000.0,USD,36519000000.0,USD,14661000000.0,USD,36519000000.0,USD,18596000000.0,USD,0.0,USD,21858000000.0,USD,25730000000.0,USD,3262000000.0,USD,10789000000.0,USD,14002000000.0,USD,11728000000.0,USD,10789000000.0,789000000.0
0000100517,"United Airlines Holdings, Inc.",Q2,2023,2023-07-20,USD / shares,3.28,,,,,USD,12661000000.0,USD,14178000000.0,USD,1017000000.0,USD,1017000000.0,USD,-58000000.0,,,USD,1849000000.0,USD,-491000000.0,USD,73341000000.0,USD,23306000000.0,USD,73341000000.0,,,USD,0.0,USD,50035000000.0,USD,65636000000.0,,,USD,7705000000.0,USD,40061000000.0,USD,25575000000.0,USD,7705000000.0,2340000000.0
0000006201,American Airlines Group Inc.,Q2,2023,2023-07-20,USD / shares,2.05,,,,,USD,11892000000.0,USD,14055000000.0,USD,1355000000.0,USD,1355000000.0,USD,1355000000.0,,,USD,195000000.0,USD,-619000000.0,USD,67260000000.0,USD,18220000000.0,USD,67260000000.0,,,USD,0.0,USD,49040000000.0,USD,71645000000.0,,,USD,-4385000000.0,USD,47329000000.0,USD,24316000000.0,USD,-4385000000.0,814000000.0
0000766421,"ALASKA AIR GROUP, INC.",Q2,2023,2023-08-02,USD / shares,1.88,,,,,USD,2501000000.0,USD,2838000000.0,USD,240000000.0,USD,240000000.0,USD,240000000.0,,,USD,20000000.0,USD,-51000000.0,USD,14829000000.0,USD,3244000000.0,USD,14829000000.0,USD,7963000000.0,USD,0.0,USD,11585000000.0,USD,10878000000.0,USD,3622000000.0,USD,3951000000.0,USD,5702000000.0,USD,5176000000.0,USD,3951000000.0,71000000.0
0000766421,"ALASKA AIR GROUP, INC.",Q1,2023,2023-05-05,USD / shares,-1.11,,,,,USD,2382000000.0,USD,2196000000.0,USD,-119000000.0,USD,-119000000.0,USD,23000000.0,,,USD,168000000.0,USD,-114000000.0,USD,14296000000.0,USD,3099000000.0,USD,14296000000.0,USD,7252000000.0,USD,0.0,USD,11197000000.0,USD,-3689000000.0,USD,3945000000.0,USD,3689000000.0,USD,0.0,USD,4857000000.0,USD,3689000000.0,282000000.0
0001158463,JETBLUE AIRWAYS CORP,Q2,2023,2023-08-01,USD / shares,0.41,,,,,USD,2375000000.0,USD,2610000000.0,USD,137000000.0,USD,137000000.0,USD,-1000000.0,,,USD,131000000.0,USD,208000000.0,USD,13481000000.0,USD,2230000000.0,USD,13481000000.0,USD,9292000000.0,USD,0.0,USD,11251000000.0,USD,9927000000.0,USD,1959000000.0,USD,3554000000.0,USD,6037000000.0,USD,3890000000.0,USD,3554000000.0,-77000000.0
0001670076,"Frontier Group Holdings, Inc.",Q2,2023,2023-08-01,USD / shares,0.32,,,,,USD,888000000.0,USD,967000000.0,USD,74000000.0,USD,74000000.0,USD,74000000.0,,,USD,-10000000.0,USD,42000000.0,USD,4708000000.0,USD,1009000000.0,USD,4708000000.0,USD,260000000.0,USD,0.0,USD,3699000000.0,USD,4142000000.0,USD,3439000000.0,USD,566000000.0,USD,2497000000.0,USD,1645000000.0,USD,566000000.0,-52000000.0
0001670076,"Frontier Group Holdings, Inc.",Q1,2023,2023-05-03,USD / shares,-0.06,,,,,USD,873000000.0,USD,848000000.0,USD,-13000000.0,USD,-20000000.0,USD,0.0,,,USD,29000000.0,USD,44000000.0,USD,4670000000.0,USD,1042000000.0,USD,4670000000.0,USD,242000000.0,USD,0.0,USD,3628000000.0,USD,4182000000.0,USD,3386000000.0,USD,488000000.0,USD,0.0,USD,1680000000.0,USD,488000000.0,-15000000.0
0001498710,"Spirit Airlines, Inc.",Q2,2023,2023-08-03,USD / shares,-0.02,,,,,USD,1412261000.0,USD,1432472000.0,USD,-2253000.0,USD,-2253000.0,USD,96000.0,,,USD,-177023000.0,USD,-112499000.0,USD,9372127000.0,USD,1772834000.0,USD,9372127000.0,USD,3740500000.0,USD,0.0,USD,7599293000.0,USD,7901055000.0,USD,3858793000.0,USD,1471072000.0,USD,6215093000.0,USD,1685962000.0,USD,1471072000.0,-64524000.0
0001362468,Allegiant Travel CO,Q2,2023,2023-08-07,USD / shares,4.8,,,,,USD,550381000.0,USD,683810000.0,USD,87866000.0,USD,87866000.0,USD,-603000.0,,,USD,-166110000.0,USD,106248000.0,USD,4829546000.0,USD,1208498000.0,USD,4829546000.0,USD,3176517000.0,USD,0.0,USD,3621048000.0,USD,3455985000.0,USD,444531000.0,USD,1373561000.0,USD,2388479000.0,USD,1067506000.0,USD,1373561000.0,-272358000.0
0001362468,Allegiant Travel CO,Q1,2023,2023-05-08,USD / shares,3.09,,,,,USD,554862000.0,USD,649687000.0,USD,58134000.0,USD,58134000.0,USD,1985000.0,,,USD,89284000.0,USD,-11877000.0,USD,4680421000.0,USD,1300100000.0,USD,4680421000.0,USD,2946941000.0,USD,0.0,USD,3380321000.0,USD,3409024000.0,USD,433380000.0,USD,1271397000.0,USD,0.0,USD,1117262000.0,USD,1271397000.0,101161000.0
0001743907,"Sun Country Airlines Holdings, Inc.",Q2,2023,2023-08-04,USD / shares,0.37,,,,,USD,225499000.0,USD,261086000.0,USD,20372000.0,USD,20372000.0,USD,-246000.0,,,USD,-152000.0,USD,24820000.0,USD,1634623000.0,USD,302263000.0,USD,1634623000.0,,,USD,0.0,USD,1332360000.0,USD,1093858000.0,,,USD,540765000.0,USD,710603000.0,USD,383255000.0,USD,540765000.0,-24972000.0
0000793733,SKYWEST INC,Q2,2023,2023-08-03,USD / shares,0.35,,,,,USD,693783000.0,USD,725643000.0,USD,16933000.0,USD,16933000.0,USD,16933000.0,,,USD,39909000.0,USD,-209870000.0,USD,7115774000.0,USD,1183133000.0,USD,7115774000.0,USD,5491143000.0,USD,0.0,USD,5932641000.0,USD,4958535000.0,USD,441498000.0,USD,2157239000.0,USD,3792541000.0,USD,1165994000.0,USD,2157239000.0,249779000.0
0000793733,SKYWEST INC,Q1,2023,2023-05-04,USD / shares,-0.45,,,,,USD,696535000.0,USD,691831000.0,USD,-22071000.0,USD,-20591000.0,USD,0.0,,,USD,-28460000.0,USD,-181695000.0,USD,7233761000.0,USD,1251968000.0,USD,7233761000.0,USD,5561458000.0,USD,0.0,USD,5981793000.0,USD,-2232058000.0,USD,420335000.0,USD,2232058000.0,USD,0.0,USD,1152102000.0,USD,2232058000.0,153235000.0
0001172222,HAWAIIAN HOLDINGS INC,Q2,2023,2023-07-26,USD / shares,-0.24,,,,,USD,716508000.0,USD,706928000.0,USD,-11808000.0,USD,-11808000.0,USD,-11808000.0,,,USD,-44692000.0,USD,-11236000.0,USD,4059850000.0,USD,1545260000.0,USD,4059850000.0,,,USD,0.0,USD,2514590000.0,USD,3836033000.0,,,USD,223817000.0,USD,2540346000.0,USD,1295687000.0,USD,223817000.0,-33456000.0
0000810332,MESA AIR GROUP INC,Q3,2023,2023-08-14,USD / shares,-1.17,,,,,USD,154921000.0,USD,114691000.0,USD,-47560000.0,USD,-47560000.0,USD,0.0,,,USD,-3077000.0,USD,-45074000.0,USD,962002000.0,USD,181126000.0,USD,962002000.0,USD,709694000.0,USD,0.0,USD,780876000.0,USD,734104000.0,USD,71182000.0,USD,227898000.0,USD,511990000.0,USD,222114000.0,USD,227898000.0,41997000.0
0000810332,MESA AIR GROUP INC,Q2,2023,2023-05-09,USD / shares,-0.88,,,,,USD,148705000.0,USD,121834000.0,USD,-35122000.0,USD,-35122000.0,USD,0.0,,,USD,-4848000.0,USD,-80656000.0,USD,1055357000.0,USD,117121000.0,USD,1055357000.0,USD,868027000.0,USD,0.0,USD,938236000.0,USD,780140000.0,USD,70209000.0,USD,275217000.0,USD,538052000.0,USD,242088000.0,USD,275217000.0,75808000.0
0001819848,"Joby Aviation, Inc.",Q2,2023,2023-08-04,USD / shares,-0.45,,,,,USD,115969000.0,USD,0.0,USD,-284944000.0,USD,-284944000.0,USD,1135000.0,,,USD,330643000.0,USD,284461000.0,USD,1426702000.0,USD,1224751000.0,USD,1426702000.0,USD,92959000.0,USD,0.0,USD,201951000.0,USD,342150000.0,USD,108992000.0,USD,1084552000.0,USD,298057000.0,USD,44093000.0,USD,1084552000.0,46182000.0
0001819848,"Joby Aviation, Inc.",Q1,2023,2023-05-05,USD / shares,-0.19,,,,,USD,99716000.0,USD,0.0,USD,-110121000.0,USD,-110121000.0,USD,3272000.0,,,USD,-97275000.0,USD,422000.0,USD,1218727000.0,USD,1013140000.0,USD,1218727000.0,USD,93032000.0,USD,0.0,USD,205587000.0,USD,149232000.0,USD,112555000.0,USD,1069495000.0,USD,0.0,USD,30317000.0,USD,1069495000.0,-97697000.0
0001754170,AerSale Corp,Q2,2023,2023-08-09,USD / shares,-0.05,USD,49186000.0,USD,20140000.0,USD,27097000.0,USD,69326000.0,USD,-2688000.0,USD,-2688000.0,USD,0.0,,,USD,-53051000.0,USD,8837000.0,USD,549936000.0,USD,312344000.0,USD,549936000.0,USD,22892000.0,USD,0.0,USD,237592000.0,USD,101672000.0,USD,214700000.0,USD,448264000.0,USD,38763000.0,USD,62909000.0,USD,448264000.0,-61888000.0
0001754170,AerSale Corp,Q1,2023,2023-05-09,USD / shares,0.0,USD,53880000.0,USD,24391000.0,USD,25224000.0,USD,78271000.0,USD,5000.0,USD,5000.0,USD,0.0,,,USD,-59493000.0,USD,-70000.0,USD,537321000.0,USD,326420000.0,USD,537321000.0,USD,13481000.0,USD,0.0,USD,210901000.0,USD,89675000.0,USD,197420000.0,USD,447646000.0,USD,0.0,USD,56919000.0,USD,447646000.0,-59423000.0
0001779128,"Blade Air Mobility, Inc.",Q2,2023,2023-08-09,USD / shares,-0.17,USD,50620000.0,USD,10369000.0,USD,-7875000.0,USD,60989000.0,USD,-12214000.0,USD,-12214000.0,USD,-12214000.0,USD,17000.0,USD,-4426000.0,USD,-20000.0,USD,320183000.0,USD,208970000.0,USD,320183000.0,USD,2909000.0,USD,0.0,USD,111213000.0,USD,59419000.0,USD,108304000.0,USD,260764000.0,USD,30146000.0,USD,29273000.0,USD,260764000.0,-4406000.0
0001779128,"Blade Air Mobility, Inc.",Q1,2023,2023-05-11,USD / shares,-0.14,USD,38107000.0,USD,7164000.0,USD,-9346000.0,USD,45271000.0,USD,-9267000.0,USD,-9267000.0,USD,-9267000.0,USD,3000.0,USD,-604000.0,USD,-27000.0,USD,322432000.0,USD,209198000.0,USD,322432000.0,USD,2445000.0,USD,0.0,USD,113234000.0,USD,52231000.0,USD,110789000.0,USD,270201000.0,USD,0.0,USD,23206000.0,USD,270201000.0,-577000.0
0001819516,Wheels Up Experience Inc.,Q2,2023,2023-08-14,USD / shares,-6.28,USD,327903000.0,USD,7159000.0,USD,160146000.0,USD,335062000.0,USD,-157297000.0,USD,-157297000.0,USD,3296000.0,USD,-454000.0,USD,-211449000.0,USD,-11931000.0,USD,1386171000.0,USD,349873000.0,USD,1386171000.0,USD,401021000.0,USD,0.0,USD,1036298000.0,USD,1373352000.0,USD,635277000.0,USD,12819000.0,USD,302635000.0,USD,1070717000.0,USD,12819000.0,-199518000.0
0001819516,Wheels Up Experience Inc.,Q1,2023,2023-05-09,USD / shares,-0.4,USD,353791000.0,USD,-1979000.0,USD,94671000.0,USD,351812000.0,USD,-99943000.0,USD,-99943000.0,USD,923000.0,USD,-86000.0,USD,-220355000.0,USD,-6752000.0,USD,1710463000.0,USD,603129000.0,USD,1710463000.0,USD,398710000.0,USD,0.0,USD,1107334000.0,USD,1547276000.0,USD,708624000.0,USD,163187000.0,USD,0.0,USD,1231648000.0,USD,163187000.0,-213603000.0
0001675149,Alcoa Corp,Q2,2023,2023-07-27,USD / shares,-0.57,,,,,USD,2783000000.0,USD,2684000000.0,USD,149000000.0,USD,159000000.0,USD,270000000.0,USD,3000000.0,USD,-154000000.0,USD,-24000000.0,USD,14128000000.0,USD,4670000000.0,USD,14128000000.0,USD,6445000000.0,USD,1616000000.0,USD,9458000000.0,USD,7670000000.0,USD,3013000000.0,USD,4842000000.0,USD,5074000000.0,USD,2596000000.0,USD,6458000000.0,-130000000.0
0001675149,Alcoa Corp,Q1,2023,2023-05-04,USD / shares,-1.3,,,,,USD,2850000000.0,USD,2670000000.0,USD,-333000000.0,USD,-347000000.0,USD,-101000000.0,USD,2000000.0,USD,-223000000.0,USD,40000000.0,USD,14369000000.0,USD,4946000000.0,USD,14369000000.0,USD,6426000000.0,USD,1606000000.0,USD,9423000000.0,USD,8073000000.0,USD,2997000000.0,USD,4690000000.0,USD,0.0,USD,2785000000.0,USD,6296000000.0,-263000000.0
0000811596,KAISER ALUMINUM CORP,Q2,2023,2023-07-28,USD / shares,1.14,USD,718400000.0,USD,95700000.0,USD,59800000.0,USD,814100000.0,USD,11000000.0,USD,11000000.0,USD,11000000.0,,,USD,-11700000.0,USD,-38000000.0,USD,2267500000.0,USD,996600000.0,USD,2267500000.0,USD,1041000000.0,USD,0.0,USD,1270900000.0,USD,1629400000.0,USD,229900000.0,USD,638100000.0,USD,1274700000.0,USD,354700000.0,USD,638100000.0,26300000.0
